634	1380	940
623	1378	937
635	1382	944
640	1398	940
608	1377	938
15117	7322	3902
15496	7325	3526
15314	7328	3524
15089	7322	3569
14910	7321	3524
78044	17126	12842
77046	17125	12838
77486	17122	12853
76810	17132	12852
77559	17124	12853
182256	27091	20003
182858	27070	19995
181455	27078	19989
182477	27325	21244
182607	27075	19998
324122	42198	39836
323192	38060	35947
323232	38016	35947
323183	36439	34477
323801	36675	35355
727358	87068	81582
728864	78695	77548
730266	75594	74673
727973	75549	74477
730548	75584	74675
1175	2422	1896
1110	2425	1894
1103	2463	1898
1102	2420	1893
1137	2454	2401
24485	10780	4999
23981	10771	4997
23831	10748	4994
24038	10761	5005
24438	10790	4999
105726	25281	18076
104610	25283	18074
105651	25276	18077
105748	25466	19239
105349	25290	18081
226990	37527	27330
224954	37427	27323
226224	37479	27345
225557	37476	27331
226538	37646	27985
402434	54413	54599
398064	54446	54585
399422	54422	54589
400001	54420	54593
397819	54454	54594
838910	108911	112743
840427	108609	112678
837092	108695	112687
845150	126262	120559
835780	108656	112706
1048	1933	1568
1056	1932	1567
1073	1932	1566
1140	1935	1569
1060	1942	1569
28222	9913	5740
28614	9899	5753
27292	9880	5749
27168	9884	5735
27973	9876	5740
111825	24689	15932
111937	24710	15886
112159	24752	15948
111497	24689	15950
112217	24952	17110
244091	35716	22882
244724	35691	22883
243325	35727	22870
242985	35715	22875
243645	35687	22866
431964	51905	46124
435700	51941	46098
431263	51846	46088
432589	51899	46119
433706	51835	46117
1.05425e+06	118191	111108
1.05858e+06	118264	111886
1.05617e+06	118180	111084
1.0585e+06	118433	115750
1.05998e+06	118170	111075
1009	1685	1338
1003	1682	1338
1011	1685	1338
1077	1688	1339
1015	1686	1339
26519	9771	5472
27097	9793	5466
26651	9766	5468
26903	9788	5467
26867	9773	5474
103031	25599	19613
102130	25572	19551
104877	25572	19625
101841	25581	19631
101180	25574	19630
233208	40613	26236
234660	40603	26223
232245	38017	24682
232284	38036	24690
232525	38019	24672
424521	57588	48721
423056	52697	44142
423494	52678	44159
425523	52665	44160
422669	52857	44786
960827	110217	107889
964793	110200	108000
958280	110243	108143
965307	110190	108535
960114	110216	108258
460	878	592
470	878	589
459	892	592
460	879	590
479	877	591
5582	4187	2125
5784	4189	2465
5794	4190	2459
5756	4189	2127
5629	4378	2655
39333	11129	4864
40097	11247	4896
39770	11126	4862
40187	11326	5390
39743	11123	4860
63263	13973	6900
63470	13980	6902
63614	13969	6902
63801	13976	6899
63579	13966	6898
153925	22639	16484
153652	22651	16482
153415	26218	19026
154500	26246	19028
153448	26223	19025
356819	51283	44086
359450	51357	44105
357242	51269	44249
356982	51288	42336
358075	46299	40137
1113	4324	3308
1085	4326	3323
1010	4328	3315
1052	4325	3332
1112	4320	2425
28479	25889	13579
28899	25880	13583
29253	25893	13592
28989	25895	13598
29090	25986	13580
115210	52167	30581
114786	52137	30588
113892	52177	30574
113859	52369	31242
113929	52168	30590
258645	76192	45911
261900	76347	46527
259719	76190	45912
258930	76198	45861
257737	76163	45892
461303	109873	68374
