662	1051	662
631	1055	659
666	1053	661
629	1052	666
701	1051	661
15249	4459	2241
15028	4450	2253
15842	4451	2261
15211	4445	2275
15636	4546	2258
78331	9589	5863
79154	9550	5835
78025	9611	5868
78172	9562	5832
77804	9603	5872
184826	15466	12127
183099	15556	12199
183936	15537	12183
183097	15553	12180
181541	15569	12197
325219	22879	16916
322188	22764	16891
322419	22860	17001
324883	22739	16897
322359	22848	16943
733812	41932	49373
734357	42102	49509
728393	38153	44878
736086	38295	51490
732081	35600	47095
1151	1735	1146
1160	1731	1138
1262	1734	1131
1146	1732	1138
1144	1731	1135
23953	7487	4473
24050	7506	4456
24491	7502	4454
23912	7487	4447
23781	7495	4457
106175	15728	9754
105794	15705	9719
105193	15742	9730
104830	15723	9708
105868	15738	9755
227631	22056	19393
226568	22151	19569
225973	22170	19440
225704	22128	19454
227044	22320	20592
399951	38563	28066
401592	38508	28058
399130	38476	28043
400136	38505	28028
400684	38530	28073
837916	65033	78417
845429	65100	78632
845995	64977	78545
845090	65102	78623
844066	77303	88091
1079	1518	1042
1086	1527	1045
1081	1527	1040
1100	1527	1247
1056	1528	1042
28446	7764	3684
28445	7782	3690
28764	7775	3680
28234	7791	3693
28245	7789	3702
111424	16133	8501
111690	16147	8511
112215	16121	8492
110913	16144	8508
110239	16146	8512
243851	22021	16796
241651	22260	18037
240860	21995	16802
242387	21989	16795
239665	21941	16755
433897	33031	23297
430317	32966	23286
430851	32989	23278
430197	33032	23288
430829	33052	23287
1.06394e+06	68155	76119
1.05491e+06	63793	72122
1.06102e+06	63787	74959
1.04806e+06	63842	75185
1.06431e+06	63875	75523
1024	1243	876
1061	1242	881
1068	1248	874
1074	1243	879
1031	1243	879
26473	6209	3639
26657	6225	3656
27026	6222	4550
26776	6218	3641
26490	6214	3653
104591	13273	8340
106142	13284	8369
104575	13286	8340
105449	13318	8376
106205	13314	8355
233870	24031	17746
231734	23994	17770
231710	24031	17768
232630	24262	19026
231647	23991	17750
426270	37355	26259
422867	35777	25269
422906	35900	25385
423043	35837	25262
426131	35906	25296
968159	65115	76600
968767	60036	70056
966734	57757	67924
968526	57673	67546
962793	57799	67925
472	607	427
471	615	427
480	609	429
478	616	434
490	614	431
5613	2354	1313
6238	2338	1312
5989	2343	1308
5972	2355	1321
5813	2344	1308
39184	6402	3606
39903	6387	3101
39758	6415	3336
39739	6358	3455
39812	6383	3316
63601	7981	4644
68687	7947	4636
63387	8011	4645
64150	7959	4621
64022	7946	4637
155654	12536	8038
153910	12524	7994
154588	12528	8045
155000	12451	8006
154111	12511	8035
356410	22715	19649
356432	22793	19747
356774	22691	19614
357046	22818	19690
356755	27376	24604
951	2984	1622
939	3000	1618
1020	2984	1625
970	3001	1629
978	2984	1629
29050	22368	10144
28918	22580	10665
28974	22397	10167
29585	22374	10147
29127	22370	10151
115406	42275	23944
114055	39637	22466
113416	39645	22505
114600	39609	22295
113944	39673	22514
258873	60550	39316
259477	60540	39321
258386	60526	39331
259409	60560	39332
259788	60545	39357
464347	85278	50951
458906	77811	48931
458874	76158	49030
459259	76276	49183
460080	76167	49171
1.01608e+06	122196	134780
1.01844e+06	122348	135617
1.01839e+06	122155	134671
1.01663e+06	122152	134625
1.01518e+06	122086	134642
849	1418	905
843	1407	906
865	1409	909
845	1412	903
888	1413	902
22063	7560	3669
22308	7526	3656
22775	7528	3673
22501	7530	3664
22118	7601	3672
92118	14911	9509
91886	14967	9511
92255	14941	9529
92410	14961	9550
92435	14928	9510
209917	23489	19964
209985	23471	19933
209963	23685	20397
209845	23462	19942
208690	23488	19947
373325	47108	33244
374691	39555	27916
371331	39505	27833
373735	39557	27910
373950	39539	27874
835638	71581	84884
828422	71726	85964
831760	71632	84776
827709	71538	84832
829684	71560	84855
791	2268	1270
805	2253	1286
752	2270	1280
781	2268	1266
767	2262	1270
28240	19498	8631
28397	19475	8629
28291	19503	8633
28161	19512	8622
28479	19482	8612
110318	39556	19996
110330	39509	19986
111794	39545	20012
110611	39473	20009
110191	39473	20008
247265	55276	29966
247288	55083	29987
247062	55458	30645
247341	55205	29939
247460	55214	29982
430049	75863	45666
431919	75983	45712
431138	75799	45638
430525	75913	45710
430961	75900	45680
969008	134235	79760
968814	156602	85688
968883	134902	80022
964972	134409	80153
967525	134302	79770
1240	2552	1428
1229	2537	1424
1204	2550	1422
1282	2537	1425
1262	2544	1421
33317	15265	7907
33249	15280	7914
33240	15262	7918
33452	15279	7906
33319	15260	7912
125306	27743	17577
124276	27762	17647
125390	27919	18030
124239	27759	17627
124783	27753	17641
277264	49582	26704
274355	49543	26705
277813	49562	26665
275424	49538	26678
278807	49656	26669
478944	61484	40038
479738	61210	40322
481408	61517	39849
477362	61517	39787
480738	61540	39776
1.05991e+06	94017	71342
1.05933e+06	94165	71919
1.05808e+06	94196	71972
1.05638e+06	93977	71361
1.06054e+06	94006	71353
1052	2702	1499
1076	2693	1504
1176	2696	1501
1126	2703	1507
1050	2707	1503
28030	16849	8572
27577	16862	8596
27445	16852	8596
27815	16858	8580
27466	16871	8590
106876	39297	23832
107488	39346	23863
106841	39528	24754
107579	39333	23879
107992	39265	23837
237358	59883	34781
236539	53798	31148
236991	50195	28818
235305	50225	28990
235559	50188	28833
419258	62359	43829
420125	62359	43812
419159	62359	43848
420622	62342	43826
417680	62494	44495
917221	112265	74539
917847	112143	74341
921190	112290	74562
915600	112279	74786
918782	112108	74204
1135	1397	892
1234	1404	900
1203	1401	894
1135	1412	905
1222	1409	900
27737	7168	3414
27271	7238	3427
27071	7164	3413
27187	7169	3427
27542	7170	3422
113885	14796	9358
114662	14649	8866
114109	14676	8863
114534	14678	8865
115418	14647	8846
259824	22203	18698
258372	22206	18688
260219	22223	18494
257503	22177	18673
259677	22198	18702
463206	36984	26342
458019	37083	26358
460140	36970	26349
460312	37315	27019
460985	44108	31448
1.05854e+06	76133	83575
1.05232e+06	75592	82977
1.05544e+06	75640	83036
1.05057e+06	75463	82904
1.05569e+06	75598	83055
514	1336	690
542	1329	690
515	1338	692
492	1333	692
476	1331	692
26990	14299	7107
26700	14349	7099
26392	14481	7596
26464	14307	7104
26919	14348	7097
109979	28450	17287
109273	28489	17306
109490	28455	17315
109616	28443	17301
109218	28406	17249
250298	43262	34570
249569	43402	35389
250653	43282	35354
249991	43414	35113
251523	43402	35117
446522	57760	49580
448194	57756	49413
450205	57782	49450
448829	57687	49422
448041	57800	49468
1.01111e+06	170144	151519
1.01006e+06	143851	139971
1.00888e+06	143759	139972
1.00785e+06	143972	141076
1.01082e+06	143791	140628
